% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
4.281	1	1	1	0.999999	0
4.281	2	4	1	0.999999	0
4.282	1	2	2	0.999999	0
4.282	2	5	2	0.999999	0
4.283	1	3	3	0.999999	0
4.283	2	6	3	0.999999	0
4.321	1	1	1	0.999999	0
4.321	2	4	1	0.999999	0
4.322	1	2	2	0.999999	0
4.322	2	5	2	0.999999	0
4.323	1	3	3	0.999999	0
4.323	2	6	3	0.999999	0
4.361	1	1	1	0.999999	0
4.361	2	4	1	0.999999	0
4.362	1	2	2	0.999999	0
4.362	2	5	2	0.999999	0
4.363	1	3	3	0.999999	0
4.363	2	6	3	0.999999	0
4.401	1	1	1	0.999999	0
4.401	2	4	1	0.999999	0
4.402	1	2	2	0.999999	0
4.402	2	5	2	0.999999	0
4.403	1	3	3	0.999999	0
4.403	2	6	3	0.999999	0
4.441	1	1	1	0.999999	0
4.441	2	4	1	0.999999	0
4.442	1	2	2	0.999999	0
4.442	2	5	2	0.999999	0
4.443	1	3	3	0.999999	0
4.443	2	6	3	0.999999	0
4.481	1	1	1	0.999999	0
4.481	2	4	1	0.999999	0
4.482	1	2	2	0.999999	0
4.482	2	5	2	0.999999	0
4.483	1	3	3	0.999999	0
4.483	2	6	3	0.999999	0
4.521	1	1	1	0.999999	0
4.521	2	4	1	0.999999	0
4.522	1	2	2	0.999999	0
4.522	2	5	2	0.999999	0
4.523	1	3	3	0.999999	0
4.523	2	6	3	0.999999	0
4.561	1	1	1	0.999999	0
4.561	2	4	1	0.999999	0
4.562	1	2	2	0.999999	0
4.562	2	5	2	0.999999	0
4.563	1	3	3	0.999999	0
4.563	2	6	3	0.999999	0
4.601	1	1	1	0.999999	0
4.601	2	4	1	0.999999	0
4.602	1	2	2	0.999999	0
4.602	2	5	2	0.999999	0
4.603	1	3	3	0.999999	0
4.603	2	6	3	0.999999	0
4.641	1	1	1	0.999999	0
4.641	2	4	1	0.999999	0
4.642	1	2	2	0.999999	0
4.642	2	5	2	0.999999	0
4.643	1	3	3	0.999999	0
4.643	2	6	3	0.999999	0
4.681	1	1	1	0.999999	0
4.681	2	4	1	0.999999	0
4.682	1	2	2	0.999999	0
4.682	2	5	2	0.999999	0
4.683	1	3	3	0.999999	0
4.683	2	6	3	0.999999	0
4.721	1	1	1	0.999999	0
